Center,CAReportName,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Mo. Bdgt Var May 2025,Mo. Bdgt May 2025,YTD May 2025,YTD Bdgt May 2025,YTD May 2024
2001-001 Knoxville GI,7327-0000 Uniform allowance,650.54,49.58,585.15,1160.71,914.97,1199.29,-500.00,0.00,1499.26,999.26,3360.12,4996.29,5204.52
2001-001 Knoxville GI,7331-0000 GP travel,0.00,0.00,0.00,0.00,0.00,338.81,0.00,0.00,85.55,85.55,338.81,427.75,581.41
2001-001 Knoxville GI,7333-0000 LP travel,3872.95,3366.47,14.39,64.60,452.83,42.98,0.00,0.00,293.23,293.23,574.80,1466.15,320.50
2001-001 Knoxville GI,7337-0000 Business meals and entertainment,1303.27,205.30,8583.98,753.75,28.82,2339.80,-400.00,0.00,1100.00,700.00,11306.35,3521.00,11770.02
2001-001 Knoxville GI,7338-0000 Facility food and beverage,1255.13,949.09,1365.20,1870.34,2907.36,3702.37,-1500.00,0.00,2742.53,1242.53,8345.27,6212.66,5601.93
2001-001 Knoxville GI,7339-0000 Office supplies,3498.15,2913.14,1552.75,2865.35,4323.76,2480.97,-2334.90,0.00,9545.66,7210.76,8887.93,36053.78,32782.28
2001-001 Knoxville GI,7341-0000 Postage,1262.63,1308.84,2522.63,2691.47,299.76,1262.63,-1260.00,0.00,2039.87,779.87,5516.49,3899.35,6363.10
2001-001 Knoxville GI,7343-0000 Express delivery,0.00,11.81,12.82,0.00,0.00,55.67,-50.00,0.00,77.47,27.47,18.49,137.35,148.49
2001-001 Knoxville GI,7347-0000 Telephone,2839.25,4598.23,3967.48,5484.06,4510.98,14734.21,-11926.20,0.00,16047.61,4121.41,16770.53,20607.05,21102.08
2001-001 Knoxville GI,7349-0000 Dues and subscriptions,1604.37,1853.68,1614.15,5181.50,1426.37,5367.60,-408.00,0.00,2657.67,2249.67,13181.62,11248.35,13401.10
2001-001 Knoxville GI,7351-0000 Meetings and conferences,2463.72,6563.54,1788.40,675.00,2606.21,2347.10,0.00,0.00,574.08,574.08,7416.71,2870.40,3850.81
2001-001 Knoxville GI,7353-0000 Maintenance scopes,6555.00,6555.00,6555.00,6555.00,6555.00,6803.00,8618.47,0.00,-1866.82,6751.65,35086.47,33758.25,74891.53
2001-001 Knoxville GI,7355-0000 Maintenance other,1835.48,3569.74,2542.66,3230.45,4667.55,13314.01,-673.08,0.00,5078.68,4405.60,23081.59,22028.00,20537.56
2001-001 Knoxville GI,7356-0000 Software maintenance contracts,18750.15,18385.16,21910.59,14908.01,19776.61,21225.42,-16936.68,0.00,34121.19,17184.51,60883.95,85922.56,81815.19
2001-001 Knoxville GI,7357-0000 Advertising,138.89,138.89,120.00,1692.28,-357.78,0.00,0.00,0.00,370.00,370.00,1454.50,1850.00,2225.96
2001-001 Knoxville GI,7361-0000 Donations and contributions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3465.00,3465.00,0.00,3465.00,3465.00
2001-001 Knoxville GI,7363-0000 Employee recruiting cost,1055.06,1386.86,892.22,2402.34,1504.95,1849.45,-2350.80,0.00,4050.39,1699.59,4298.16,8497.95,8311.01
2001-001 Knoxville GI,7369-0000 Other operating expense,230.06,-127.50,311.88,350.47,117.04,53.20,-400.00,0.00,891.20,491.20,432.59,2456.00,3853.83
2001-001 Knoxville GI,7370-0000 Minor equipment expense,436.05,1654.70,711.01,71.15,56.92,56.92,358.89,0.00,2523.92,2882.81,1254.89,14414.06,9398.73
2001-001 Knoxville GI,7371-0000 Accreditation fee,134.57,134.41,134.41,134.41,134.41,134.41,134.41,0.00,-11.44,122.97,672.05,614.85,1539.85
2001-001 Knoxville GI,7411-0000 Rent building,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,7412-0000 Rent equipment,4588.50,5305.99,4588.50,9177.00,6000.00,3188.50,-4600.00,0.00,10857.25,6257.25,18354.00,31286.25,1821.18
2001-001 Knoxville GI,7415-0000 CAM,16114.77,16114.77,16114.77,39673.81,17724.07,17724.07,0.00,0.00,16114.77,16114.77,91236.72,80573.85,89862.68
2001-001 Knoxville GI,7416-0000 Lease level expense,38576.39,38576.39,38576.39,38576.39,38576.39,38576.39,0.00,0.00,38576.39,38576.39,154305.56,192881.95,192881.95
2001-001 Knoxville GI,7421-0000 Insurance malpractice,5156.76,5156.75,5156.75,5156.75,5156.75,5156.75,5156.75,0.00,-872.73,4284.02,25783.75,21420.10,21420.10
2001-001 Knoxville GI,7422-0000 Insurance other,2797.29,2469.75,2396.03,2469.71,2469.71,3596.07,469.71,0.00,88.02,557.73,11401.23,2788.64,11450.10
2001-001 Knoxville GI,7431-0000 Utilities,9350.00,8010.71,9000.00,10578.85,9000.00,7851.52,-9348.97,0.00,16308.64,6959.67,27081.40,32384.75,31464.75
2001-001 Knoxville GI,7501-0000 Property tax,105.95,105.95,105.95,105.95,-267.07,105.95,105.95,0.00,4.05,110.00,156.73,550.00,529.75
2001-001 Knoxville GI,7505-0000 Franchise taxes,1596.27,4958.10,-1794.89,1594.01,1594.01,5284.86,1669.50,0.00,-55.34,1614.16,8347.49,8070.79,8070.79
2001-001 Knoxville GI,7509-0000 Other taxes and licenses,0.00,0.00,0.00,0.00,25.20,0.00,0.00,0.00,531.03,531.03,25.20,2655.14,65.20
2001-001 Knoxville GI,7654-0000 Depreciation leasehold improvements,20736.89,20736.33,20736.61,20736.56,20736.71,20736.50,0.00,0.00,20789.63,20789.63,82946.38,103895.53,103683.06
2001-001 Knoxville GI,7655-0000 Depreciation moveable equipment,2125.95,2100.22,2100.27,2100.27,2100.26,2322.92,0.00,0.00,4199.33,4199.33,8623.72,18855.33,16066.12
2001-001 Knoxville GI,7912-7011 State income taxes - GP allocation,20494.49,20405.09,17597.27,16709.00,17393.99,18917.30,0.00,0.00,12353.95,12353.95,70617.56,46485.88,74401.44
2001-001 Knoxville GI,7912-7012 State income taxes - LP allocation,19690.79,19604.89,16907.18,16053.75,16711.87,18175.45,0.00,0.00,11869.48,11869.48,67848.25,44662.90,71483.73
2001-001 Knoxville GI,8102-0000 Interest income,-14.29,-5.46,-132.02,-243.71,-35.41,-15.08,0.00,0.00,0.00,0.00,-426.22,0.00,-201.42
2001-001 Knoxville GI,8109-0000 Misc net revenues,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,8143-0000 Misc other income,-246.06,-914.16,-716.74,-338.72,-209.76,-1152.38,752.30,0.00,752.30,0.00,-1665.30,0.00,0.00
2001-001 Knoxville GI,8211-0000 Interest expense debt,1232.26,1013.60,2700.77,-30.02,0.00,0.00,0.00,0.00,1012.14,1012.14,2670.75,5060.70,33822.33
2001-001 Knoxville GI,8214-0000 Deferred financing cost,115.87,115.87,115.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.87,-115.87,579.35
2001-001 Knoxville GI,R101-6001 GI procedures,1747.00,1680.00,1576.00,1494.00,1529.00,1526.00,-76.00,0.00,-1686.31,1610.31,6049.00,6917.02,7373.00
2001-001 Knoxville GI,R115-6001 Pain management procedures,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-001 Knoxville GI,S005-0000 Working days in the month,19.00,20.00,22.00,20.00,21.00,22.00,0.00,0.00,0.00,0.00,85.00,0.00,108.00
2001-001 Knoxville GI,S101-0000 GI cases,1441.00,1367.00,1286.00,1374.00,1382.00,1432.00,-62.00,0.00,-1381.93,1319.93,5412.00,5669.69,6082.00
2001-002 Knoxville West GI,1111-1102 Depository - Refund disbursement,-3224.63,-2070.63,-25351.79,-212.93,-5160.83,-3089.65,0.00,0.00,0.00,0.00,-33815.20,0.00,-17140.88
2001-002 Knoxville West GI,1111-1105 Depository - Non capitated collection,361469.58,381176.86,236076.14,327806.58,345391.93,353159.21,0.00,0.00,0.00,0.00,1262433.86,0.00,1562091.35
2001-002 Knoxville West GI,1134-1102 Practice cash - Refund disbursement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-002 Knoxville West GI,6101-6001 GI revenue,-950095.01,-855830.01,-797412.01,-950121.00,-959000.02,-1007254.02,55142.00,0.00,1029429.27,-974287.27,-3658645.05,-4823342.50,-4605156.05
2001-002 Knoxville West GI,6201-6001 Contract adj GI,595162.52,535136.15,494697.10,592875.50,598416.01,634526.51,0.00,0.00,-632523.03,632523.03,2320515.12,3131257.97,3025122.67
2001-002 Knoxville West GI,6301-6001 Bad debt exp GI,2850.29,2567.49,17392.24,2850.36,2877.00,8021.76,0.00,0.00,2268.69,2268.69,31141.36,11230.97,28815.47
2001-002 Knoxville West GI,7115-0000 Clinical salaries,31170.19,30925.71,28237.53,27902.84,25939.21,28421.29,-16715.27,0.00,53288.06,36572.79,93785.60,181012.64,179693.91
2001-002 Knoxville West GI,7116-0000 Clinical overtime,287.69,244.83,0.00,217.17,347.49,51.57,0.00,0.00,290.16,290.16,616.23,3871.52,2348.33
2001-002 Knoxville West GI,7117-0000 Administrative support salaries,13623.10,14486.80,13633.13,12565.80,16226.03,15557.86,-20728.74,0.00,32649.26,11920.52,37254.08,59602.59,58831.25
2001-002 Knoxville West GI,7129-0000 Accrued compensation,1493.88,2017.55,1465.15,1465.15,1465.15,1465.15,1465.15,0.00,-330.72,1134.43,7325.75,5672.14,13675.12
2001-002 Knoxville West GI,7141-0000 FICA,4561.39,3052.70,2788.83,3377.79,4136.47,3684.17,-3410.82,0.00,7020.80,3609.98,10576.44,18092.02,18155.20
2001-002 Knoxville West GI,7143-0000 Federal unemployment,17.54,9.52,222.65,234.84,51.45,0.27,-58.06,0.00,82.94,24.88,451.15,448.29,579.71
2001-002 Knoxville West GI,7145-0000 State unemployment,7.27,4.43,94.83,100.70,18.75,-2.57,-22.61,0.00,54.23,31.62,189.10,229.41,241.90
2001-002 Knoxville West GI,7161-0000 Pension,2215.56,2721.80,2028.21,1741.36,3379.54,131.42,-1558.14,0.00,3471.75,1913.61,5722.39,9568.05,8346.90
2001-002 Knoxville West GI,7163-0000 Employee insurance,4049.24,3108.30,4590.12,4401.16,4111.47,2740.67,0.00,0.00,4168.01,4168.01,15843.42,20840.03,21622.71
2001-002 Knoxville West GI,7165-0000 Workers compensation,141.00,160.09,1027.66,141.00,160.09,564.00,-564.00,0.00,730.68,166.68,1328.75,833.41,957.32
2001-002 Knoxville West GI,7201-0000 Medical supplies actual,21665.65,18617.41,30538.33,21326.80,27947.76,24833.92,9447.25,0.00,17231.97,26679.22,114094.06,132637.43,108557.64
2001-002 Knoxville West GI,7203-0000 Medical supplies accrual,3388.00,-5619.00,-4977.00,41.00,-41.00,1934.00,-1934.00,0.00,1934.00,0.00,-4977.00,0.00,-8500.00
2001-002 Knoxville West GI,7205-0000 Prescription drugs actual,1839.53,3091.22,1689.33,1107.94,1960.14,2707.75,511.60,0.00,2230.85,2742.45,7976.76,13576.27,13077.04
2001-002 Knoxville West GI,7207-0000 Prescription drugs accrual,950.00,-950.00,500.00,1000.00,-1000.00,-500.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
2001-002 Knoxville West GI,7223-0000 Corporate rebate program,-641.69,-3116.27,-125.38,-752.18,-1757.24,-293.87,0.00,0.00,-940.48,-940.48,-2928.67,-4655.79,-3198.00
2001-002 Knoxville West GI,7301-0000 Linen service,3187.49,3008.91,3315.59,2967.69,3167.67,3173.51,1501.92,0.00,1311.83,2813.75,14126.38,14068.73,13593.31
2001-002 Knoxville West GI,7303-0000 Cleaning service,972.48,972.48,972.00,1143.44,972.48,972.48,-972.48,0.00,1826.05,853.57,3087.92,4267.85,4026.40
2001-002 Knoxville West GI,7305-0000 Medical waste,400.00,428.01,428.01,456.02,400.00,428.01,-400.00,0.00,901.89,501.89,1312.04,2509.46,1743.49
2001-002 Knoxville West GI,7306-0000 Medical specialist fee,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,-1500.00,0.00,3000.00,1500.00,4500.00,7500.00,7500.00
2001-002 Knoxville West GI,7312-0000 Outside accounting services,648.00,648.00,648.00,648.00,688.50,688.50,-648.00,0.00,1296.00,648.00,2025.00,3240.00,3240.00
2001-002 Knoxville West GI,7317-0000 Management fee,12416.61,11058.37,9746.25,12509.13,12641.61,13361.57,0.00,0.00,11712.60,11712.60,48258.56,57989.45,53715.37
2001-002 Knoxville West GI,7319-0000 Consulting fees,1666.67,1666.67,1666.67,1666.67,1666.67,1666.67,1666.67,0.00,0.00,1666.67,8333.35,8333.35,8333.35
2001-002 Knoxville West GI,7321-0000 Collection fees,1239.75,515.28,836.34,372.56,492.02,114.61,-800.00,0.00,1331.96,531.96,1015.53,2659.80,2295.31
2001-002 Knoxville West GI,7323-0000 Contract services,2817.83,3781.24,4038.90,3166.16,3213.60,3259.93,-2526.00,0.00,6165.94,3639.94,11152.59,18199.70,18259.63
2001-002 Knoxville West GI,7327-0000 Uniform allowance,0.00,89.00,96.31,57.60,177.60,233.00,-150.00,0.00,197.95,47.95,414.51,239.74,325.86
2001-002 Knoxville West GI,7331-0000 GP travel,0.00,0.00,0.00,0.00,0.00,240.78,0.00,0.00,71.82,71.82,240.78,359.10,488.09
2001-002 Knoxville West GI,7337-0000 Business meals and entertainment,0.00,0.00,0.00,0.00,0.00,31.98,0.00,0.00,12.09,12.09,31.98,60.47,84.66
2001-002 Knoxville West GI,7338-0000 Facility food and beverage,754.22,598.47,994.15,206.16,995.24,882.97,-650.00,0.00,1314.12,664.12,2428.52,3320.59,3066.12
2001-002 Knoxville West GI,7339-0000 Office supplies,1127.84,446.72,484.11,885.07,907.44,766.84,-500.00,0.00,1269.43,769.43,2543.46,3847.14,3796.45
2001-002 Knoxville West GI,7341-0000 Postage,0.00,0.00,22.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.52,0.00,0.00
2001-002 Knoxville West GI,7343-0000 Express delivery,0.00,0.00,0.00,0.00,0.00,8.58,0.00,0.00,5.98,5.98,8.58,29.90,31.13
2001-002 Knoxville West GI,7347-0000 Telephone,931.00,789.67,902.69,746.90,1074.18,980.73,-1060.00,0.00,1868.92,808.92,2644.50,4044.60,3965.63
2001-002 Knoxville West GI,7349-0000 Dues and subscriptions,0.00,798.00,0.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00
2001-002 Knoxville West GI,7351-0000 Meetings and conferences,0.00,0.00,0.00,0.00,262.50,0.00,17.00,0.00,-15.50,1.50,279.50,7.50,18.00
2001-002 Knoxville West GI,7353-0000 Maintenance scopes,3539.46,3539.46,3539.46,3539.46,3539.46,3539.46,0.00,0.00,3925.51,3925.51,14157.84,19627.57,33670.33
2001-002 Knoxville West GI,7355-0000 Maintenance other,2527.49,1082.49,1726.88,1933.51,5347.78,2554.43,1274.01,0.00,1311.99,2586.00,12836.61,12930.00,13991.67
2001-002 Knoxville West GI,7356-0000 Software maintenance contracts,4709.69,5876.59,5455.30,4575.74,5009.10,5128.03,-4316.00,0.00,9659.78,5343.78,15852.17,26718.90,25429.27
2001-002 Knoxville West GI,7357-0000 Advertising,138.89,138.89,120.00,1102.62,-357.78,0.00,0.00,0.00,284.33,284.33,864.84,1421.63,1654.53
2001-002 Knoxville West GI,7369-0000 Other operating expense,307.04,97.38,580.58,187.75,333.91,118.26,-160.00,0.00,498.44,338.44,1060.50,1692.20,1775.59
2001-002 Knoxville West GI,7370-0000 Minor equipment expense,0.00,0.00,0.00,0.00,0.00,103.02,0.00,0.00,0.00,0.00,103.02,0.00,36.32
2001-002 Knoxville West GI,7371-0000 Accreditation fee,134.51,134.41,134.41,134.41,134.41,134.41,134.41,0.00,-11.44,122.97,672.05,614.85,614.85
2001-002 Knoxville West GI,7411-0000 Rent building,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-002 Knoxville West GI,7412-0000 Rent equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3606.00
2001-002 Knoxville West GI,7415-0000 CAM,6300.10,6300.10,6300.10,6142.58,1528.24,6142.58,0.00,0.00,6300.10,6300.10,20113.50,31500.50,31805.09
2001-002 Knoxville West GI,7416-0000 Lease level expense,17276.62,17276.62,17276.62,17276.62,17276.62,17276.62,0.00,0.00,17276.62,17276.62,69106.48,86383.10,86383.10
2001-002 Knoxville West GI,7421-0000 Insurance malpractice,1751.54,1751.54,1751.54,1751.54,1751.54,1751.54,1751.54,0.00,-90.48,1661.06,8757.70,8305.30,8305.30
2001-002 Knoxville West GI,7422-0000 Insurance other,833.11,707.30,654.71,707.33,707.33,1254.80,-292.67,0.00,507.35,214.68,3031.50,1073.40,3615.78
2001-002 Knoxville West GI,7431-0000 Utilities,1548.48,1599.75,1486.07,1561.53,2458.42,1985.67,-1600.00,0.00,3038.08,1438.08,5891.69,7923.27,8255.17
2001-002 Knoxville West GI,7501-0000 Property tax,107.42,107.42,107.42,-30.62,107.42,107.42,107.42,0.00,21.48,128.90,399.06,644.50,441.93
2001-002 Knoxville West GI,7509-0000 Other taxes and licenses,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,285.71,285.71,0.00,1428.57,0.00
2001-002 Knoxville West GI,7654-0000 Depreciation leasehold improvements,995.23,995.23,995.23,995.23,995.23,995.23,0.00,0.00,2245.00,2245.00,3980.92,11225.00,795.20
2001-002 Knoxville West GI,7655-0000 Depreciation moveable equipment,2218.66,2218.61,2218.63,2218.63,2218.64,2218.63,0.00,0.00,5069.00,5069.00,8874.53,20495.00,11093.18
2001-002 Knoxville West GI,7912-7012 State income taxes - LP allocation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11179.86,11179.86,0.00,55149.97,0.00
2001-002 Knoxville West GI,8102-0000 Interest income,-0.78,-2.71,-3.16,-2.69,-1.02,-3.29,0.00,0.00,0.00,0.00,-10.16,0.00,-157.59
2001-002 Knoxville West GI,8109-0000 Misc net revenues,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2001-002 Knoxville West GI,8143-0000 Misc other income,-99.80,-370.82,-290.75,-137.39,-85.08,-374.75,258.81,0.00,258.81,0.00,-629.16,0.00,0.00
2001-002 Knoxville West GI,8211-0000 Interest expense debt,626.10,598.28,593.24,475.35,469.93,429.75,0.00,0.00,1553.55,1553.55,1968.27,7767.75,4739.10
2001-002 Knoxville West GI,R101-6001 GI procedures,556.00,502.00,467.00,554.00,562.00,590.00,-32.00,0.00,-600.66,568.66,2141.00,2815.09,2709.00
2001-002 Knoxville West GI,S005-0000 Working days in the month,19.00,20.00,22.00,20.00,21.00,22.00,0.00,0.00,0.00,0.00,85.00,0.00,108.00
2001-002 Knoxville West GI,S101-0000 GI cases,450.00,424.00,398.00,490.00,456.00,491.00,-25.00,0.00,-491.11,466.11,1810.00,2307.45,2259.00
2003-001 St Thomas GI,1111-1102 Depository - Refund disbursement,-4577.49,-8726.20,-7647.70,-14294.20,-8783.80,-10051.39,0.00,0.00,0.00,0.00,-40777.09,0.00,-57031.69
2003-001 St Thomas GI,1111-1105 Depository - Non capitated collection,150152.00,157413.59,122238.52,140279.92,151597.61,164281.05,0.00,0.00,0.00,0.00,578397.10,0.00,900679.23
2003-001 St Thomas GI,1111-1147 Depository - Grant collections,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,1112-1105 Depository development - Non capitated collection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,1131-1102 Disbursements - Refund disbursement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,1134-1102 Practice cash - Refund disbursement,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2003-001 St Thomas GI,5312-5303 GP capital current year - Distribution,16983.00,40545.00,43605.00,38148.00,31773.00,23919.00,51816.00,0.00,51816.00,0.00,189261.00,0.00,208284.00
2003-001 St Thomas GI,5322-5303 LP capital current year - Distribution,16317.00,38955.00,41895.00,36652.00,30527.00,22981.00,49784.00,0.00,49784.00,0.00,181839.00,0.00,200116.00
