Field,Excel Value,DataBase Value,Variance,Result,Issue,Sheet,Center,CAReport Name
CAReportName,Facility: Write-off percentage,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Write-off percentage
CAReportName,NULL,Gross charge per visit and procedure,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Gross Charges Facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Net revenue - facility,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Net revenue per visit and procedure,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Non-Aged balances percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,proc and visits,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,procedures,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Reconciling difference,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Total accounts receivable aging,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Total adjustment percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Total aging percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Total allowance percentage,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Total Write-offs,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,visits,,Missing in Excel,Missing in Excel,Facility,,
CAReportName,NULL,Write-off percentage,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,348911760.3,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,348911760.3,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Mar 2024,0.551040803118,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Mar 2024,NULL,141431269.81,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,141431269.81,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Mar 2024,0.223364212301,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Mar 2024,NULL,100085165.19,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,100085165.19,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Mar 2024,0.158065780755,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Mar 2024,NULL,45464767.12,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,45464767.12,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Mar 2024,0.07180308788,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Mar 2024,NULL,22131973.36,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,22131973.36,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Mar 2024,0.034953308436,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Mar 2024,NULL,8825.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,8825,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
Mar 2024,0.258317520738,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
Mar 2024,NULL,632299595.07,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,632299595.07,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
Mar 2024,NULL,148768506.75,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,148768506.75,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
Mar 2024,0.045666966079,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
Mar 2024,NULL,-28875204.16,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,-28875204.16,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
Mar 2024,-2439637.96,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
Mar 2024,NULL,-2439637.96,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,0.004689814807,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
Mar 2024,2769776.28,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
Mar 2024,NULL,2769776.28,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,574.18407079046,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
Mar 2024,101615077.56,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
Mar 2024,NULL,101615077.56,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,0.714587246341,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
Mar 2024,-371727721.38,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
Mar 2024,NULL,-371727721.38,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,0.719051360628,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
Mar 2024,NULL,-454655884.16,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,-454655884.16,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
Mar 2024,360442973.67,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
Mar 2024,NULL,360442973.67,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,-24838140.31,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,-24838140.31,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
Mar 2024,2939.42697756155,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
Mar 2024,520199210.5,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
Mar 2024,NULL,520199210.5,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,146031851.16,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
Mar 2024,NULL,146031851.16,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,825.164579681645,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
Mar 2024,-0.039227192493,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
Mar 2024,-887200.400000095,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
Mar 2024,-3273752.08,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
Mar 2024,NULL,-3273752.08,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,633186795.47,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,633186795.47,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
Mar 2024,0.719277061148,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
Mar 2024,1,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total aging percentage
Mar 2024,0.764718326707,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total allowance percentage
Mar 2024,125200,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total cases
Mar 2024,NULL,125200.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,172478,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total procedures
Mar 2024,NULL,172478.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,363212749.95,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total write-offs
Mar 2024,NULL,363212749.95,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,2089,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Units
Mar 2024,NULL,2089.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,4495,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Visits
Mar 2024,NULL,4495.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,0.781392008941,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Write-off percentage
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Mar 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,363214972.96,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,363214972.96,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Apr 2024,0.57,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
Apr 2024,NULL,131247381.2,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,131247381.2,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Apr 2024,0.21,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 120+ days
Apr 2024,NULL,85236588.87,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,85236588.87,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Apr 2024,0.13,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 31 - 60 days
Apr 2024,NULL,48717381.68,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,48717381.68,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Apr 2024,0.08,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 61 - 90 days
Apr 2024,NULL,30237170.62,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,30237170.62,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Apr 2024,0.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 91 - 120 days
Apr 2024,NULL,8637.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,8637.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: A211-0000 Gross days in AR
Apr 2024,0.25,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable greater than 90 days
Apr 2024,NULL,637956972.06,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,637956972.06,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Accounts receivable per general ledger
Apr 2024,NULL,150945705.1,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,150945705.1,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Accounts receivable, net"
Apr 2024,0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance percentage
Apr 2024,NULL,-28022178.75,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,-28022178.75,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt allowance
Apr 2024,-2930298.07,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense - facility
Apr 2024,NULL,-2930298.07,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,0.01,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Bad debt expense percentage
Apr 2024,3774119.48,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Bad debt write-offs, net of recoveries"
Apr 2024,NULL,3774119.48,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,314.39,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Collections per visit and procedure
Apr 2024,60133442.16,NULL,,Missing in Database,Missing in Database,Facility,,"Facility: Collections, net of refunds"
Apr 2024,NULL,60133442.16,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,0.71,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustment percentage
Apr 2024,-398596558.82,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual adjustments - facility
Apr 2024,NULL,-398596558.82,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance percentage
Apr 2024,NULL,-458989088.21,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,-458989088.21,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual allowance
Apr 2024,394653176.57,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Contractual write-offs
Apr 2024,NULL,394653176.57,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,-25357710.76,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,-25357710.76,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Credit balances
Apr 2024,2926.19,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charge per visit and procedure
Apr 2024,559690034.3,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Gross charges - facility
Apr 2024,NULL,559690034.3,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,158163177.41,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue - facility
Apr 2024,NULL,158163177.41,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,826.91,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Net revenue per visit and procedure
Apr 2024,-0.04,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Non-aged balances
Apr 2024,4661187.49,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Reconciling difference
Apr 2024,-2719094.82,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Refunds - facility
Apr 2024,NULL,-2719094.82,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,633295784.57,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,633295784.57,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total accounts receivable aging
Apr 2024,0.72,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total adjustment percentage
Apr 2024,1.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total aging percentage
Apr 2024,0.76,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total allowance percentage
Apr 2024,135773.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total cases
Apr 2024,NULL,135773.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,186214.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total procedures
Apr 2024,NULL,186214.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,398427296.05,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Total write-offs
Apr 2024,NULL,398427296.05,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,2374.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Units
Apr 2024,NULL,2374.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,5055.0,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Visits
Apr 2024,NULL,5055.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,0.87,NULL,,Missing in Database,Missing in Database,Facility,,Facility: Write-off percentage
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
Apr 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,0.0,,Missing in Excel,Missing in Excel,Facility,,
May 2024,NULL,327532258.18,,Missing in Excel,Missing in Excel,Facility,,
May 2024,327532258.18,NULL,,Missing in Database,Missing in Database,Facility,,Facility: 0 - 30 days
